,AGRADECIMENTO,DESPEDIDA,FEEDBACK_NEGATIVO,PEDIDO_AJUDA,SAUDACAO
0,agradeço pelo excelente atendimento e competencia,desejo lhe um otimo dia cheio de alegria,muito chateado,ola estou com um problema na linha de produçao pode me ajudar,bom dia faço identificar problema aquecimento maquina
1,agradeço demais voce salvou meu dia,agradeço pela orientaçao encerrando a conversa,uma verdadeira falta de compromisso,posso solucionar problema falta energia eletrica fabrica,tudo bem
2,muito obrigado por tudo,encerrar dialogo agora,atendimento ruim,minha maquina parou de funcionar do nada o que pode estar errado,oi preciso de um auxilio para resolver um problema
3,sinceramente agradecido ajuda,valeu demais,nao resolveram meu problema,meu celular nao esta fazendo ligaçoes o que posso fazer para solucionar o problema,oi disposiçao
4,obrigado por estar sempre disposto a ajudar,falou meu caro,nao estou feliz com o descaso em relaçao ao meu problema,alguem experiente pode ajudar,oi estou com problemas e preciso de assistencia profissional
5,agradeço pela orientaçao,agradeço suporte vamos encerrar conversa,nao gostei falta atençao caso,dificuldades programar equipamento devo fazer,oi dificuldades gostaria orientaçao
6,agradeço sempre superar expectativas,grato pela ajuda encerrando a conversa,decepcionado qualidade produto,gostaria contar ajuda vox,bom dia como identificar quais sao as peças que precisam ser substituidas
7,fico grato toda ajuda suporte,later meu chapa,verdadeira bagunça organizacional,nao sei fazer pode auxiliar,boa tarde
8,agradeço imensamente voce anjo,bom descanso meu parceiro,nao satisfeito resposta obtive sobre problema,preciso de suporte para solucionar um problema,ola seja bem vindo posso ajudar
9,muito obrigado por sua orientaçao valiosa,bjao sucesso sempre,nao satisfeito desempenho maquina,tenho um problema com a minha esteira de montagem pode me ajudar a conserta la,oi aqui
10,agradecido cordialidade,ate a proxima meu amigo,minha empresa precisa de soluçoes mais eficientes para economizar energia,maquina produzindo qualidade inferior pode errado,hi
11,muito obrigado pela resposta,ate mais tarde meu colega,nao satisfeito,estou com dificuldades para resolver isso precisa de sugestoes,hello
12,obrigado sempre disposto ajudar,de boas,nao gostei da forma como fui tratado,meu celular esta com problemas na bateria,oi alguem pode me dar um suporte
13,obrigado orientar nessa situaçao,muito obrigado pela assistencia ate breve,isso ultrapassa todos os limites,fazer manutençao preventiva maquinas equipamentos,boa noite posso fazer voce
14,agradeço por sempre superar minhas expectativas,thanks closing the chat now,estou frustrado com a demora na soluçao,minha maquina esta vibrando muito o que devo fazer,ola prazer em te receber
15,obrigado sempre presente,fui valeu demais,nao recebi o suporte necessario para solucionar meu problema,tendo dificuldade solucionar problema automaçao processo produtivo,oi preciso suporte resolver impasse
16,obrigado pela prontidao em responder,ate a proxima vez meu companheiro,nao contente falta transparencia informaçoes,nao conseguindo conectar wi fi devo fazer,oi duvida relaçao manutençao preventiva
17,muito obrigado pela assistencia,encerrando conversa aqui obrigado ajuda,acredito manutençao realizada nao resolveu problema,melhor forma substituir componente defeituoso maquina,e ai precisando de ajuda
18,obrigado prontidao responder,tchau,nao satisfeito falta disponibilidade suporte,estou com dificuldades para ajustar o equipamento o que devo fazer,oi estou preparado para te dar todo o suporte necessario
19,agradeço toda atençao,inte camarada,isso ultrapassa todos os limites,estou tendo dificuldades para identificar o tipo de lubrificante que deve ser usado em minha maquina pode me ajudar,boa tarde
20,agradeço atendimento primeira qualidade,valeu demais fica na paz,incompetencia total,preciso ajuda solucionar problema sistema exaustao,oi como posso te auxiliar hoje
21,obrigado pela paciencia em me explicar,encerrar dialogo obrigado pela assistencia,nao satisfeito qualidade produto recebi,tenho um problema em uma maquina especifica como posso encontrar a causa raiz,oi como vai
22,muito obrigado por sua ajuda,tenha uma noite tranquila,fiquei insatisfeito atendimento cliente,estou com dificuldades para fazer a manutençao corretiva o que posso fazer,oi estou com um contratempo e preciso de orientaçoes
23,muito obrigado por sua ajuda valiosa e insights perspicazes,agradeço pela ajuda do chatbot encerrar conversa,estou profundamente desapontado,dificuldade gostaria pedir ajuda,boa tarde favor preciso ajuda
24,muito obrigado por terem salvo meu dia,agradeço pela ajuda ate mais,essa e a ultima vez que passo por isso,o robo da minha fabrica parou de funcionar como posso conserta lo,oi disposiçao ajudar
25,obrigado sempre disponivel voce incrivel,no vemos em breve,fiquei decepcionado,estou com dificuldades para usar determinado software,eaew
26,obrigado por estar sempre disponivel voce e incrivel,paz amor sucesso sempre,nao estou satisfeito com a resposta,nao consigo entender acontecendo pode explicar,oi pronto oferecer ajuda
27,agradeço terem resolvido problema parecia impossivel solucionado,de boa,nao estou conseguindo resolver meu problema sozinho,problema complicado,bom dia como esta
28,agradeço pela rapidez em resolver o assunto,finalizando conversa,irritado pouca eficiencia sistema suporte tecnico,maquina parou funcionar inesperadamente posso fazer resolve la,boa tarde preciso de ajuda com um problema mecanico
29,voce foi incrivel obrigado,thx,nao merecem minha fidelidade,estou com dificuldades para encontrar uma soluçao,oi tudo bem ai posso util
30,obrigado resposta esclarecedora,paz e amor meu brother,nao estou satisfeito com o atendimento tecnico que recebi,empacado,seja bem vindo
31,parabens pelo trabalho e obrigado,abraços meu camarada,estou chateado com isso,posso otimizar uso maquinario reduzir custos,oi bom voce veio
32,agradecido pela atençao dispensada,ate mais tarde companheiro,insatisfeito falta agilidade,alguma ideia,tudo bom
33,obrigado pronta resposta,valeu mesmo,produto recebi nao boas condiçoes,tendo problema motor eletrico,bom dia como faço para identificar problema de aquecimento em uma maquina
34,nao tenho palavras para agradecer,finalizando a conversa,estou frustrado com a falta de resposta,o motor da minha maquina esta superaquecendo o que fazer,oi o que voce gostaria de saber
35,agradeço por toda a atençao,valeu,desrespeito,alguem pode me guiar,bom dia qual o problema que esta enfrentando
36,nao existem palavras para descrever minha gratidao por toda ajuda,falou,uma vergonha,preciso ajuda resolver problema equipamento hidraulico,oi estou pronto para te oferecer a melhor soluçao
37,obrigado por sempre oferecer soluçoes criativas,adeus,nunca mais compro aqui,preciso de ajuda,boa tarde acho equipamento defeito
38,obrigado por tornar tudo mais facil,bjus,estou desanimado,minha maquina esta produzindo com qualidade inferior o que pode estar errado,oi o que voce precisa de auxilio
39,agradeço paciencia ajudar resolver problema,ate mais meu brother,nao entendo podem agir assim,dificuldade enorme,oi alguem pode guiar processo
40,agradeço sua orientaçao,siga em frente,ma qualidade,minha impressora nao esta funcionando o que devo verificar,oi estou a disposiçao para te ajudar
41,agradeço pela disponibilidade em compartilhar conhecimento,finalizando,que desperdicio de tempo e dinheiro,maquina esquentando demais parte externa posso resolver,boa tarde o que posso fazer por voce hoje
42,fiquei muito feliz com o resultado agradeço a dedicaçao de voces,sucesso,insatisfeito,estou com problemas para instalar um programa ha alguma soluçao,oi estou em busca de suporte tecnico para um problema especifico
43,muito obrigado por me ajudar a resolver o meu problema,bye,atendimento horrivel,estou com uma dificuldade imensa,ai alguem pode dar força
44,agradeço de coraçao voce e incrivel,obrigado suporte vamos encerrar agora,nao estou conseguindo acessar o suporte tecnico,enfrentando problemas sistema controle qualidade fazer,boa noite precisa de suporte
45,obrigado por sua atençao dedicada,gente ve,nao recomendo,como posso evitar o desgaste excessivo de meus equipamentos,oi expectativa
46,obrigado por tornar a coisas mais simple para mim,vou encerrar a conversa obrigado pelo atendimento,nao recomendo de forma alguma,computador lento travando posso resolver,oi bom te ver por aqui
47,obrigado pela ajuda,encerrando a conversa obrigado,atendimento ruim,como posso identificar a causa de uma falha no sistema eletrico da minha fabrica,ola como esta
48,muito obrigado por sua assistencia oportuna e profissional,otimo atendimento podemos encerrar agora,maquina apresentando problemas nao existiam antes,alguma sugestao,oi preciso conselho sobre tema particular
49,obrigado resposta,ate logo,isso nao pode ser ignorado,estou com um contratempo e preciso de assistencia,ola voce pode me ajudar
50,fiquei muito feliz com o resultado agradeço a dedicaçao de vox,ate mais muito obrigado,qualidade produto final nao atendendo expectativas,meu equipamento esta apresentando uma queda constante de desempenho como solucionar,oi sabe dizer pode acontecendo maquina
51,obrigado tao prestativo amigavel,valeu cuida,nao gostei da falta de soluçao para o meu problema,estou com dificuldade em instalar um novo equipamento como posso solucionar,ola o que precisa
52,agradeço,falou caro,estou irritado com essa situaçao,preciso ajuda realizar troca peça especifica equipamento,ai alguem pode dar maozinha
53,muito obrigado voce e um verdadeiro heroi,bora,nao acho que esta sendo levada em consideraçao minha opiniao,nao consigo solucionar defeito equipamento mediçao,boa tarde como resolver um problema em um motor de esteira
54,aproveito agradecer,tenha uma otima noite,estou tendo que lidar com muitos problemas tecnicos,problemas ventilaçao maquina pode acontecendo,ola equipamento nao funcionando
55,obrigada pela ajuda,bjao fica com deus,total falta de respeito,posso fazer,e ai qual e a necessidade
56,obrigado por me ajudar a identificar onde estava meu problema mecanico,ate mais cedo,nao da para acreditar nisso,problema maquina especifica posso encontrar causa raiz,oi preciso opiniao sobre assunto especifico
57,muito obrigado estou realmente grato,encerrar chatbot obrigado suporte,estou descontente com a falta de profissionalismo,estou com um problema complicado e nao sei por onde começar voce pode me orientar,oi como posso ser util para corrigir o seu problema
