,AGRADECIMENTO,DESPEDIDA,FEEDBACK_NEGATIVO,PEDIDO_AJUDA,SAUDACAO
0,obrigado,ate logo,estou insatisfeito com o serviço prestado,pode me ajudar,Bem vindo
1,obrigado,ate logo,insatisfeito serviço prestado,pode ajudar,bem vindo
2,muito obrigado,ate mais,estou insatisfeito com o serviço prestado,estou com problema,Bem vindo
3,muito obrigado,ate,nao estou satisfeito com o produto que comprei,problema,Ola novamente
4,agradeço,ate mais,nao satisfeito produto comprei,tenho um problema,ola novamente
5,agradeço,ate a proxima,nao estou satisfeito com o produto que comprei,me ajuda,Bom dia Como posso ajuda lo com a sua questao industrial
6,gratidao,ate proxima,estou muito desapontado com o atendimento recebido,ajuda,bom dia posso ajuda lo questao industrial
7,gratidao,ate a proxima,desapontado atendimento recebido,estou com um problemao,Bom dia Como posso ajuda lo com a sua questao industrial
8,obrigado pela ajuda,foi bom conversar com voce,estou muito desapontado com o atendimento recebido,problemao,Boa tarde Como esta o seu dia
9,obrigado ajuda,bom conversar voce,estou extremamente insatisfeito com a qualidade do serviço,tenho um problemao,boa tarde dia
10,obrigado pela ajuda,foi bom conversar com voce,extremamente insatisfeito qualidade serviço,estou com probleminha,Boa tarde Como esta o seu dia
11,muito obrigado pela assistencia,ate breve,estou extremamente insatisfeito com a qualidade do serviço,probleminha,Oi voce e um chatbot
12,obrigado assistencia,ate breve,nao estou contente com a soluçao oferecida,tenho um probleminha,oi voce chatbot
13,muito obrigado pela assistencia,tchau,nao contente soluçao oferecida,preciso de uma mao,Oi voce e um chatbot
14,agradeço pela orientaçao,tchau,nao estou contente com a soluçao oferecida,preciso mao,Oi tudo bom Como posso ajuda lo
15,agradeço orientaçao,ate mais tarde,estou bastante insatisfeito com o tratamento que recebi,me da uma maozinha,oi tudo bom posso ajuda lo
16,agradeço pela orientaçao,ate tarde,bastante insatisfeito tratamento recebi,maozinha,Oi tudo bom Como posso ajuda lo
17,obrigado pelo suporte,ate mais tarde,estou bastante insatisfeito com o tratamento que recebi,preciso de uma ajudinha,Oi sabe me dizer o que pode estar acontecendo com minha maquina
18,obrigado suporte,tenha um otimo dia,nao fiquei satisfeito com o resultado final,preciso ajudinha,oi sabe dizer pode acontecendo maquina
19,obrigado pelo suporte,tenha otimo dia,nao fiquei satisfeito resultado final,problemas,Oi sabe me dizer o que pode estar acontecendo com minha maquina
20,muito obrigado pela colaboraçao,tenha um otimo dia,nao fiquei satisfeito com o resultado final,Qual e a melhor forma de prevenir a ferrugem em equipamentos,Oi tudo bem
21,obrigado colaboraçao,ate mais cedo,estou chateado com a forma como fui tratado,melhor forma prevenir ferrugem equipamentos,oi tudo bem
22,muito obrigado pela colaboraçao,ate cedo,chateado forma tratado,Estou tendo problemas em identificar a causa de um curto circuito,Oi tudo bem
23,agradeço por resolver o problema,ate mais cedo,estou chateado com a forma como fui tratado,tendo problemas identificar causa curto circuito,Ola preciso de ajuda para solucionar um problema em um motor
24,agradeço resolver problema,ate amanha,nao estou feliz com a resposta que recebi,Preciso de ajuda para resolver um problema com um robo industrial,ola preciso ajuda solucionar problema motor
25,agradeço por resolver o problema,ate amanha,nao feliz resposta recebi,preciso ajuda resolver problema robo industrial,Oi como voce esta
26,grato pelo apoio,nos vemos em breve,nao estou feliz com a resposta que recebi,Minha maquina esta demorando a iniciar o que pode estar causando isso,oi voce
27,grato apoio,vemos breve,estou muito frustrado com a demora na resoluçao do problema,maquina demorando iniciar pode causando,Oi como voce esta
28,grato pelo apoio,no vemos em breve,frustrado demora resoluçao problema,Como posso maximizar a eficiencia de minha linha de produçao,Ola voce pode me ajudar
29,obrigado pela atençao,fique bem,estou muito frustrado com a demora na resoluçao do problema,posso maximizar eficiencia linha produçao,ola voce pode ajudar
30,obrigado atençao,fique bem,nao estou satisfeito com a falta de suporte recebida,Estou recebendo mensagens de erro em meu equipamento como posso resolve las,Ola voce pode me ajudar
31,obrigado pela atençao,tenha uma boa semana,nao satisfeito falta suporte recebida,recebendo mensagens erro equipamento posso resolve las,Ola em que posso ajudar nesse momento
32,muito obrigado pela rapidez,tenha boa semana,nao estou satisfeito com a falta de suporte recebida,Estou recebendo mensagens de erro em meu equipamento como posso resolve la,ola posso ajudar nesse momento
33,obrigado rapidez,tenha uma boa semana,estou insatisfeito com a falta de clareza nas informaçoes,recebendo mensagens erro equipamento posso resolve la,Ola em que posso ajudar nesse momento
34,muito obrigado pela rapidez,ate a proxima vez,insatisfeito falta clareza informaçoes,Preciso substituir uma peça da minha maquina como faço para encontrar e comprar,Boas vindas
35,agradeço pela dedicaçao,ate proxima vez,estou insatisfeito com a falta de clareza na informaçoes,preciso substituir peça maquina faço encontrar comprar,boas vindas
